COD_ERP_DEPARTAMENTO;NOME_DEPARTAMENTO;COD_ERP_SETOR;NOME_SETOR;COD_ERP_GRUPO;NOME_GRUPO;COD_ERP_SUBGRUPO;NOME_SUBGRUPO
A0101;COMBUSTIVEL;A0101001;COMBUSTIVEL;A0101001001;COMBUSTIVEL;A0101001001001;"COMBUSTIVEL DIVERSO"
A0102;LUBRIFICANTE;A0102001;LUBRIFICANTE;A0102001001;LUBRIFICANTE;A0102001001001;LUBRIFICANTE
A0103;ADITIVO;A0103001;ADITIVO;A0103001001;ADITIVO;A0103001001001;ADITIVO
A0104001;FILTRO/EXTINTOR;A0104001001;FILTRO/EXTINTOR;A0104001001001;FILTRO/EXTINTOR;A0104001001001001;FILTRO/EXTINTOR
A0105;FILTRO/EXTINTOR;A0105001001;FILTRO/EXTINTOR;A0105001001001;FILTRO/EXTINTOR;A0105001001001001;FILTRO
A0105;FILTRO/EXTINTOR;A0105001001;FILTRO/EXTINTOR;A0105001001001;FILTRO/EXTINTOR;A0105001001001002;EXTINTOR
A0106;PALHETAS;A0106001;PALHETAS;A0106001001;PALHETAS;A0106001001001;PALHETAS
B0101;FERRAMENTA;B0101001;MARTELO;B0101001001;"MERCADO INTERNO";B0101001001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101001;MARTELO;B0101001002;"IMPORTACAO PROPRIA";B0101001002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101002;CHAVE;B0101002001;"MERCADO INTERNO";B0101002001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101002;CHAVE;B0101002002;"IMPORTACAO PROPRIA";B0101002002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101003;ALICATE;B0101003001;"MERCADO INTERNO";B0101003001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101003;ALICATE;B0101003002;"IMPORTACAO PROPRIA";B0101003002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101004;MORSA;B0101004001;"MERCADO INTERNO";B0101004001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101004;MORSA;B0101004002;"IMPORTACAO PROPRIA";B0101004002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101005;"PARAFUSOS/BUCHAS E OUTROS";B0101005001;"PARAFUSOS E BUCHA";B0101005001001;"PARAFUSOS E BUCHA"
B0101;FERRAMENTA;B0101005;"PARAFUSOS/BUCHAS E OUTROS";B0101005002;GRAMPO;B0101005002001;GRAMPO
B0101;FERRAMENTA;B0101005;"PARAFUSOS/BUCHAS E OUTROS";B0101005003;DOBRADICA;B0101005003001;DOBRADICA
B0101;FERRAMENTA;B0101005;"PARAFUSOS/BUCHAS E OUTROS";B0101005004;TARGETA;B0101005004001;TARGETA
B0101;FERRAMENTA;B0101006;LIXA;B0101006001;LIXA;B0101006001001;LIXA
B0101;FERRAMENTA;B0101007;TRENA;B0101007001;"MERCADO INTERNO";B0101007001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101007;TRENA;B0101007002;"IMPORTACAO PROPRIA";B0101007002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101008;"CAIXA DE FERRAMENTA";B0101008001;"MERCADO INTERNO";B0101008001001;"MERCADO INTERNO"
B0101;FERRAMENTA;B0101008;"CAIXA DE FERRAMENTA";B0101008002;"IMPORTACAO PROPRIA";B0101008002001;"IMPORTACAO PROPRIA"
B0101;FERRAMENTA;B0101009;RATOEIRA;B0101009001;RATOEIRA;B0101009001001;RATOEIRA
